partner_id,date,product_id,price_total,product_uom_qty,qty_delivered,Product,team,customer_residence,customer,Salesperson
738,8/31/2024 18:59,298,400,1,1,B2C-Mrenda ,Point of Sale,,Ms Karen Wilson,Sophie Evans-Saunders
738,8/31/2024 18:59,346,150,1,1, Delivery Cost      ,Point of Sale,,Ms Karen Wilson,Sophie Evans-Saunders
178,8/31/2024 18:51,351,100,1,1, Delivery Cost,Point of Sale,Syokimau,Mr Francis Humphreys,Sophie Evans-Saunders
178,8/31/2024 18:51,231,500,1,1,B2C-Fermented Managu ,Point of Sale,Syokimau,Mr Francis Humphreys,Sophie Evans-Saunders
178,8/31/2024 18:51,340,250,1,1,Unga Brown,Point of Sale,Syokimau,Mr Francis Humphreys,Sophie Evans-Saunders
178,8/31/2024 18:51,292,500,1,1,B2C-Fermented sagaa,Point of Sale,Syokimau,Mr Francis Humphreys,Sophie Evans-Saunders
178,8/31/2024 18:51,44,800,2,2,B2C-Pumpkin,Point of Sale,Syokimau,Mr Francis Humphreys,Sophie Evans-Saunders
80,8/30/2024 20:00,333,1850,1,1,Dressed chicken(jogoo),Point of Sale,Riara,Darren Palmer,Sophie Evans-Saunders
80,8/30/2024 20:00,346,150,1,1, Delivery Cost      ,Point of Sale,Riara,Darren Palmer,Sophie Evans-Saunders
80,8/30/2024 20:00,319,400,1,1,B2C-Managu Terere,Point of Sale,Riara,Darren Palmer,Sophie Evans-Saunders
80,8/30/2024 20:00,45,400,1,1,B2C-Mitoo/Slender leaf,Point of Sale,Riara,Darren Palmer,Sophie Evans-Saunders
80,8/30/2024 20:00,244,400,1,1,B2C-Terere,Point of Sale,Riara,Darren Palmer,Sophie Evans-Saunders
29,8/30/2024 18:54,380,1750,1,1,Dressed Chicken,Point of Sale,Kilimani,Dr Steven Bishop,Sophie Evans-Saunders
612,8/30/2024 18:51,331,1650,1,1,Dressed chicken,Point of Sale,,Carly Taylor,Sophie Evans-Saunders
612,8/30/2024 18:51,333,1850,1,1,Dressed chicken(jogoo),Point of Sale,,Carly Taylor,Sophie Evans-Saunders
612,8/30/2024 18:51,345,200,1,1, Delivery Cost      ,Point of Sale,,Carly Taylor,Sophie Evans-Saunders
29,8/30/2024 18:23,333,1850,1,1,Dressed chicken(jogoo),Point of Sale,Kilimani,Dr Steven Bishop,Sophie Evans-Saunders
29,8/30/2024 18:23,331,1750,1,1,Dressed chicken,Point of Sale,Kilimani,Dr Steven Bishop,Sophie Evans-Saunders
187,8/30/2024 17:31,345,200,1,1, Delivery Cost      ,Point of Sale,Kilimani,Nicole Carroll,Sophie Evans-Saunders
187,8/30/2024 17:31,244,1200,3,3,B2C-Terere,Point of Sale,Kilimani,Nicole Carroll,Sophie Evans-Saunders
700,8/30/2024 16:54,242,700,2,2,B2C-Githeri,Point of Sale,,Katherine Ryan,Sophie Evans-Saunders
700,8/30/2024 16:54,288,400,1,1,B2C-Nderema ,Point of Sale,,Katherine Ryan,Sophie Evans-Saunders
700,8/30/2024 16:54,350,400,1,1, Delivery Cost      ,Point of Sale,,Katherine Ryan,Sophie Evans-Saunders
661,8/30/2024 16:50,378,800,2,2,B2B-Githeri,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:50,376,450,1,1,B2B-Sagaa,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:50,377,900,2,2,B2B-Managu,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:50,375,900,2,2,B2B-Terere,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:50,362,450,1,1,B2B-Mrenda Plain,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:50,379,450,1,1,B2B-Mito,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:50,314,250,1,1, Delivery Cost     ,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:50,370,450,1,1,B2B-Kunde Plain,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:37,376,900,2,2,B2B-Sagaa,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:37,254,900,2,2,B2B-Managu Plain,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:37,378,800,2,2,B2B-Githeri,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:37,314,250,1,1, Delivery Cost     ,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:37,375,900,2,2,B2B-Terere,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:37,379,450,1,1,B2B-Mito,Point of Sale,,Emma Moore,Sophie Evans-Saunders
661,8/30/2024 16:37,245,900,2,2,B2B-Kunde Mrenda  Plain,Point of Sale,,Emma Moore,Sophie Evans-Saunders
737,8/29/2024 20:47,183,400,1,1,B2C-Kunde Mrenda,Point of Sale,,Julian Harris,Sophie Evans-Saunders
737,8/29/2024 20:47,44,400,1,1,B2C-Pumpkin,Point of Sale,,Julian Harris,Sophie Evans-Saunders
737,8/29/2024 20:47,319,400,1,1,B2C-Managu Terere,Point of Sale,,Julian Harris,Sophie Evans-Saunders
737,8/29/2024 20:47,347,300,1,1, Delivery Cost      ,Point of Sale,,Julian Harris,Sophie Evans-Saunders
737,8/29/2024 20:47,327,400,1,1,B2C-Terere Kunde,Point of Sale,,Julian Harris,Sophie Evans-Saunders
175,8/29/2024 20:40,45,400,1,1,B2C-Mitoo/Slender leaf,Point of Sale,Nairobi,Cameron Walker-Morgan,Sophie Evans-Saunders
175,8/29/2024 20:40,244,400,1,1,B2C-Terere,Point of Sale,Nairobi,Cameron Walker-Morgan,Sophie Evans-Saunders
175,8/29/2024 20:40,345,200,1,1, Delivery Cost      ,Point of Sale,Nairobi,Cameron Walker-Morgan,Sophie Evans-Saunders
175,8/29/2024 20:40,243,400,1,1,B2C-Managu,Point of Sale,Nairobi,Cameron Walker-Morgan,Sophie Evans-Saunders
635,8/29/2024 18:11,346,150,1,1, Delivery Cost      ,Point of Sale,,Diane Wallace,Sophie Evans-Saunders
635,8/29/2024 18:11,333,1850,1,1,Dressed chicken(jogoo),Point of Sale,,Diane Wallace,Sophie Evans-Saunders
76,8/29/2024 18:09,374,800,2,2,Pumpkin Mrenda,Point of Sale,Lavington,Dr Molly Nelson,Sophie Evans-Saunders
76,8/29/2024 18:09,346,150,1,1, Delivery Cost      ,Point of Sale,Lavington,Dr Molly Nelson,Sophie Evans-Saunders
218,8/29/2024 17:57,45,400,1,1,B2C-Mitoo/Slender leaf,Point of Sale,Nairobi,Wayne Taylor,Sophie Evans-Saunders
218,8/29/2024 17:57,298,400,1,1,B2C-Mrenda ,Point of Sale,Nairobi,Wayne Taylor,Sophie Evans-Saunders
218,8/29/2024 17:57,183,400,1,1,B2C-Kunde Mrenda,Point of Sale,Nairobi,Wayne Taylor,Sophie Evans-Saunders
218,8/29/2024 17:57,347,300,1,1, Delivery Cost      ,Point of Sale,Nairobi,Wayne Taylor,Sophie Evans-Saunders
736,8/29/2024 17:55,243,400,1,1,B2C-Managu,Point of Sale,,Ms Anna Thomas,Sophie Evans-Saunders
736,8/29/2024 17:55,251,400,1,1,B2C-Kunde,Point of Sale,,Ms Anna Thomas,Sophie Evans-Saunders
736,8/29/2024 17:55,350,400,1,1, Delivery Cost      ,Point of Sale,,Ms Anna Thomas,Sophie Evans-Saunders
736,8/29/2024 17:55,327,400,1,1,B2C-Terere Kunde,Point of Sale,,Ms Anna Thomas,Sophie Evans-Saunders
736,8/29/2024 17:55,319,400,1,1,B2C-Managu Terere,Point of Sale,,Ms Anna Thomas,Sophie Evans-Saunders
735,8/29/2024 17:49,340,500,2,2,Unga Brown,Point of Sale,,Dr Richard Taylor,Sophie Evans-Saunders
735,8/29/2024 17:49,359,50,1,1, Delivery Cost ,Point of Sale,,Dr Richard Taylor,Sophie Evans-Saunders
193,8/29/2024 17:42,327,400,1,1,B2C-Terere Kunde,Point of Sale,Westlands,Lynda Higgins,Sophie Evans-Saunders
193,8/29/2024 17:42,243,400,1,1,B2C-Managu,Point of Sale,Westlands,Lynda Higgins,Sophie Evans-Saunders
193,8/29/2024 17:42,345,200,1,1, Delivery Cost      ,Point of Sale,Westlands,Lynda Higgins,Sophie Evans-Saunders
734,8/28/2024 23:47,231,500,1,1,B2C-Fermented Managu ,Point of Sale,,Roy Smith,Sophie Evans-Saunders
734,8/28/2024 23:47,345,200,1,1, Delivery Cost      ,Point of Sale,,Roy Smith,Sophie Evans-Saunders
734,8/28/2024 23:47,292,500,1,1,B2C-Fermented sagaa,Point of Sale,,Roy Smith,Sophie Evans-Saunders
731,8/28/2024 23:43,350,400,1,1, Delivery Cost      ,Point of Sale,,Charlotte Davies,Sophie Evans-Saunders
731,8/28/2024 23:43,251,800,2,2,B2C-Kunde,Point of Sale,,Charlotte Davies,Sophie Evans-Saunders
731,8/28/2024 23:43,259,600,2,2,B2C-Yellow Beans,Point of Sale,,Charlotte Davies,Sophie Evans-Saunders
731,8/28/2024 23:43,319,800,2,2,B2C-Managu Terere,Point of Sale,,Charlotte Davies,Sophie Evans-Saunders
488,8/28/2024 23:36,44,800,2,2,B2C-Pumpkin,Point of Sale,Karen,Rachel Smith,Sophie Evans-Saunders
488,8/28/2024 23:36,347,300,1,1, Delivery Cost      ,Point of Sale,Karen,Rachel Smith,Sophie Evans-Saunders
488,8/28/2024 23:36,244,400,1,1,B2C-Terere,Point of Sale,Karen,Rachel Smith,Sophie Evans-Saunders
488,8/28/2024 23:36,243,400,1,1,B2C-Managu,Point of Sale,Karen,Rachel Smith,Sophie Evans-Saunders
488,8/28/2024 23:36,298,1200,3,3,B2C-Mrenda ,Point of Sale,Karen,Rachel Smith,Sophie Evans-Saunders
730,8/28/2024 22:52,345,200,1,1, Delivery Cost      ,Point of Sale,,Mohammad Kelly,Sophie Evans-Saunders
730,8/28/2024 22:52,327,400,1,1,B2C-Terere Kunde,Point of Sale,,Mohammad Kelly,Sophie Evans-Saunders
729,8/28/2024 22:41,347,300,1,1, Delivery Cost      ,Point of Sale,,Aimee Jones,Sophie Evans-Saunders
729,8/28/2024 22:41,319,400,1,1,B2C-Managu Terere,Point of Sale,,Aimee Jones,Sophie Evans-Saunders
729,8/28/2024 22:41,343,500,1,1,Fermented Mrenda Mitoo,Point of Sale,,Aimee Jones,Sophie Evans-Saunders
729,8/28/2024 22:29,243,400,1,1,B2C-Managu,Point of Sale,,Aimee Jones,Sophie Evans-Saunders
729,8/28/2024 22:29,343,500,1,1,Fermented Mrenda Mitoo,Point of Sale,,Aimee Jones,Sophie Evans-Saunders
729,8/28/2024 22:29,347,300,1,1, Delivery Cost      ,Point of Sale,,Aimee Jones,Sophie Evans-Saunders
40,8/28/2024 21:35,243,400,1,1,B2C-Managu,Point of Sale,Nairobi,Dr Alexander Howe,Sophie Evans-Saunders
40,8/28/2024 21:35,346,150,1,1, Delivery Cost      ,Point of Sale,Nairobi,Dr Alexander Howe,Sophie Evans-Saunders
40,8/28/2024 21:35,40,400,1,1,B2C-Sagaa/Saget,Point of Sale,Nairobi,Dr Alexander Howe,Sophie Evans-Saunders
560,8/28/2024 21:30,331,1650,1,1,Dressed chicken,Point of Sale,simba court,Dr Charles Stewart,Sophie Evans-Saunders
560,8/28/2024 21:30,350,400,1,1, Delivery Cost      ,Point of Sale,simba court,Dr Charles Stewart,Sophie Evans-Saunders
560,8/28/2024 21:30,242,350,1,1,B2C-Githeri,Point of Sale,simba court,Dr Charles Stewart,Sophie Evans-Saunders
560,8/28/2024 21:30,183,800,2,2,B2C-Kunde Mrenda,Point of Sale,simba court,Dr Charles Stewart,Sophie Evans-Saunders
560,8/28/2024 21:30,44,800,2,2,B2C-Pumpkin,Point of Sale,simba court,Dr Charles Stewart,Sophie Evans-Saunders
199,8/28/2024 20:53,262,400,1,1,Ruaka Delivery Cost  ,Point of Sale,Nairobi,Howard Hunter-Jordan,Sophie Evans-Saunders
199,8/28/2024 20:53,243,1200,3,3,B2C-Managu,Point of Sale,Nairobi,Howard Hunter-Jordan,Sophie Evans-Saunders
214,8/28/2024 20:38,292,500,1,1,B2C-Fermented sagaa,Point of Sale,Kileleshwa,Hannah Armstrong,Sophie Evans-Saunders
214,8/28/2024 20:38,351,100,1,1, Delivery Cost,Point of Sale,Kileleshwa,Hannah Armstrong,Sophie Evans-Saunders
214,8/28/2024 20:38,319,400,1,1,B2C-Managu Terere,Point of Sale,Kileleshwa,Hannah Armstrong,Sophie Evans-Saunders
688,8/28/2024 18:42,345,200,1,1, Delivery Cost      ,Point of Sale,,Ms Denise Perry,Sophie Evans-Saunders
688,8/28/2024 18:42,340,1000,4,4,Unga Brown,Point of Sale,,Ms Denise Perry,Sophie Evans-Saunders
61,8/28/2024 18:31,345,200,1,1, Delivery Cost      ,Point of Sale,Langata,Eric Pope,Sophie Evans-Saunders
61,8/28/2024 18:31,292,500,1,1,B2C-Fermented sagaa,Point of Sale,Langata,Eric Pope,Sophie Evans-Saunders
61,8/28/2024 18:31,231,500,1,1,B2C-Fermented Managu ,Point of Sale,Langata,Eric Pope,Sophie Evans-Saunders
486,8/28/2024 18:27,244,400,1,1,B2C-Terere,Point of Sale,Nairobi,Amber Turner,Sophie Evans-Saunders
486,8/28/2024 18:27,345,200,1,1, Delivery Cost      ,Point of Sale,Nairobi,Amber Turner,Sophie Evans-Saunders
486,8/28/2024 18:27,243,400,1,1,B2C-Managu,Point of Sale,Nairobi,Amber Turner,Sophie Evans-Saunders
486,8/28/2024 18:27,251,400,1,1,B2C-Kunde,Point of Sale,Nairobi,Amber Turner,Sophie Evans-Saunders
219,8/28/2024 18:17,367,350,1,1,Delivery Fee,Point of Sale,Nairobi,Paula Bailey,Sophie Evans-Saunders
219,8/28/2024 18:17,231,500,1,1,B2C-Fermented Managu ,Point of Sale,Nairobi,Paula Bailey,Sophie Evans-Saunders
219,8/28/2024 18:17,44,400,1,1,B2C-Pumpkin,Point of Sale,Nairobi,Paula Bailey,Sophie Evans-Saunders
219,8/28/2024 18:17,243,400,1,1,B2C-Managu,Point of Sale,Nairobi,Paula Bailey,Sophie Evans-Saunders
728,8/28/2024 18:11,347,300,1,1, Delivery Cost      ,Point of Sale,,Ms Rebecca Watkins,Sophie Evans-Saunders
728,8/28/2024 18:11,320,600,2,2,B2C-Rosecoco Beans,Point of Sale,,Ms Rebecca Watkins,Sophie Evans-Saunders
728,8/28/2024 18:11,242,700,2,2,B2C-Githeri,Point of Sale,,Ms Rebecca Watkins,Sophie Evans-Saunders
453,8/28/2024 18:07,372,500,1,1,Hatha(Stinging Nettle),Point of Sale,,Simon Lewis,Sophie Evans-Saunders
453,8/28/2024 18:07,243,400,1,1,B2C-Managu,Point of Sale,,Simon Lewis,Sophie Evans-Saunders
453,8/28/2024 18:07,244,400,1,1,B2C-Terere,Point of Sale,,Simon Lewis,Sophie Evans-Saunders
453,8/28/2024 18:07,350,400,1,1, Delivery Cost      ,Point of Sale,,Simon Lewis,Sophie Evans-Saunders
453,8/28/2024 18:07,242,350,1,1,B2C-Githeri,Point of Sale,,Simon Lewis,Sophie Evans-Saunders
453,8/28/2024 18:07,105,400,1,1,Precooked Spinach/Sukumawiki mix,Point of Sale,,Simon Lewis,Sophie Evans-Saunders
453,8/28/2024 18:07,288,400,1,1,B2C-Nderema ,Point of Sale,,Simon Lewis,Sophie Evans-Saunders
114,8/28/2024 17:59,246,4500,10,10,B2B-Kunde Terere ,Point of Sale,Garden Estate,Joanna Hunt,Sophie Evans-Saunders
114,8/28/2024 17:59,253,4500,10,10,B2B-Managu Terere,Point of Sale,Garden Estate,Joanna Hunt,Sophie Evans-Saunders
114,8/28/2024 17:59,362,9000,20,20,B2B-Mrenda Plain,Point of Sale,Garden Estate,Joanna Hunt,Sophie Evans-Saunders
114,8/28/2024 17:59,370,9000,20,20,B2B-Kunde Plain,Point of Sale,Garden Estate,Joanna Hunt,Sophie Evans-Saunders
114,8/28/2024 17:59,355,700,1,1, Hagon Delivery,Point of Sale,Garden Estate,Joanna Hunt,Sophie Evans-Saunders
211,8/27/2024 0:19,231,500,1,1,B2C-Fermented Managu ,Point of Sale,Syokimau,Nicola Taylor,Sophie Evans-Saunders
211,8/27/2024 0:19,267,100,1,1,Shaba Delivery Cost   ,Point of Sale,Syokimau,Nicola Taylor,Sophie Evans-Saunders
211,8/27/2024 0:19,292,500,1,1,B2C-Fermented sagaa,Point of Sale,Syokimau,Nicola Taylor,Sophie Evans-Saunders
727,8/26/2024 23:26,44,400,1,1,B2C-Pumpkin,Point of Sale,,Margaret Webb,Sophie Evans-Saunders
727,8/26/2024 23:26,45,400,1,1,B2C-Mitoo/Slender leaf,Point of Sale,,Margaret Webb,Sophie Evans-Saunders
727,8/26/2024 23:26,298,400,1,1,B2C-Mrenda ,Point of Sale,,Margaret Webb,Sophie Evans-Saunders
727,8/26/2024 23:26,292,500,1,1,B2C-Fermented sagaa,Point of Sale,,Margaret Webb,Sophie Evans-Saunders
727,8/26/2024 23:26,231,500,1,1,B2C-Fermented Managu ,Point of Sale,,Margaret Webb,Sophie Evans-Saunders
727,8/26/2024 23:26,248,150,1,1,Kilimani Delivery fee,Point of Sale,,Margaret Webb,Sophie Evans-Saunders
3,8/26/2024 23:08,343,500,1,1,Fermented Mrenda Mitoo,Point of Sale,Syokimau,Abdul Glover,Sophie Evans-Saunders
236,8/26/2024 19:12,23,150,1,1,Lavington Delivery Cost,Point of Sale,Lavington,Alex Thomson,Sophie Evans-Saunders
236,8/26/2024 19:12,298,400,1,1,B2C-Mrenda ,Point of Sale,Lavington,Alex Thomson,Sophie Evans-Saunders
568,8/26/2024 18:35,319,800,2,2,B2C-Managu Terere,Point of Sale,"CBD,Nairobi",Mr Andrew Harrison,Sophie Evans-Saunders
568,8/26/2024 18:35,132,200,1,1,CBD Delivery Fee,Point of Sale,"CBD,Nairobi",Mr Andrew Harrison,Sophie Evans-Saunders
81,8/26/2024 18:32,40,800,2,2,B2C-Sagaa/Saget,Point of Sale,Lavington,Rosie Scott,Sophie Evans-Saunders
81,8/26/2024 18:32,333,3700,2,2,Dressed chicken(jogoo),Point of Sale,Lavington,Rosie Scott,Sophie Evans-Saunders
81,8/26/2024 18:32,298,1200,3,3,B2C-Mrenda ,Point of Sale,Lavington,Rosie Scott,Sophie Evans-Saunders
496,8/26/2024 18:29,313,250,1,1,Westlands Delivery fee,Point of Sale,westland pride,Mr Antony King,Sophie Evans-Saunders
496,8/26/2024 18:29,327,400,1,1,B2C-Terere Kunde,Point of Sale,westland pride,Mr Antony King,Sophie Evans-Saunders
496,8/26/2024 18:29,319,800,2,2,B2C-Managu Terere,Point of Sale,westland pride,Mr Antony King,Sophie Evans-Saunders
474,8/26/2024 18:25,231,500,1,1,B2C-Fermented Managu ,Point of Sale,Kileleshwa,Dr Barry Allen,Sophie Evans-Saunders
474,8/26/2024 18:25,319,400,400,400,B2C-Managu Terere,Point of Sale,Kileleshwa,Dr Barry Allen,Sophie Evans-Saunders
474,8/26/2024 18:25,292,500,1,1,B2C-Fermented sagaa,Point of Sale,Kileleshwa,Dr Barry Allen,Sophie Evans-Saunders
